time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2021-10-08 07:25:00;1;0;1
2021-10-21 03:00:00;11;0;1
2021-10-21 17:00:00;14;1;1
2022-06-22 08:00:00;2;0;0
2022-07-16 02:00:00;1;0;0
2022-07-17 00:00:00;1;0;0
2022-07-17 05:00:00;1;0;0
2022-07-17 12:00:00;1;0;0
2022-07-18 01:00:00;1;0;0
2022-08-12 08:00:00;1;0;0
2022-08-15 09:00:00;1;0;0
2022-08-15 19:00:00;1;0;0
2022-08-17 11:00:00;1;0;0
2022-09-10 23:00:00;1;0;0
2023-03-09 08:00:00;2;0;0
2023-04-08 06:00:00;32;0;0
2023-06-04 09:00:00;3;0;1
2023-06-04 13:00:00;1;1;1
2023-07-17 00:00:00;1;0;0
2023-07-17 03:00:00;1;0;0
2023-07-18 02:00:00;1;0;0
2024-03-25 11:00:00;4;1;1
2024-04-28 14:00:00;1;1;1
2024-04-28 16:00:00;2;1;0
