time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-03-12 13:29:00;1;0;0
2020-07-09 09:29:00;1;0;0
2020-07-30 13:29:00;1;0;0
2020-08-31 09:29:00;1;0;0
2020-08-31 13:29:00;1;0;0
2020-10-07 20:29:00;1;0;0
2020-11-15 10:29:00;1;0;0
2020-11-17 15:29:00;1;0;0
2020-12-09 00:29:00;1;0;0
2020-12-12 01:29:00;1;0;0
2022-07-14 16:00:00;1;0;0
2022-09-08 20:00:00;1;0;0
2022-09-08 23:00:00;1;0;0
2022-09-09 02:00:00;1;0;0
2022-10-23 22:00:00;1;0;0
2022-10-24 12:00:00;1;0;0
2022-10-24 22:00:00;1;0;0
2022-10-25 17:00:00;1;0;0
2022-11-07 08:00:00;1;0;0
2022-11-08 09:00:00;1;0;0
2023-07-07 09:00:00;1;0;0
2023-08-07 21:00:00;1;0;0
2023-09-21 09:00:00;1;0;0
2023-10-11 22:00:00;1;0;0
